A Case for Lease-Based, Utilitarian Resource Management on Mobile Devices.	Yigong Hu,Suyi Liu,Peng Huang 0005	10.1145/3297858.3304057
Heterogeneous Isolated Execution for Commodity GPUs.	Insu Jang,Adrian Tang,Taehoon Kim 0001,Simha Sethumadhavan,Jaehyuk Huh	10.1145/3297858.3304021
FPSA: A Full System Stack Solution for Reconfigurable ReRAM-based NN Accelerator Architecture.	Yu Ji 0002,Youyang Zhang,Xinfeng Xie,Shuangchen Li,Peiqi Wang 0001,Xing Hu 0001,Youhui Zhang,Yuan Xie 0001	10.1145/3297858.3304048
Scalable Processing of Contemporary Semi-Structured Data on Commodity Parallel Processors - A Compilation-based Approach.	Lin Jiang,Xiaofan Sun,Umar Farooq 0002,Zhijia Zhao 0001	10.1145/3297858.3304008
Split-CNN: Splitting Window-based Operations in Convolutional Neural Networks for Memory System Optimization.	Tian Jin,Seokin Hong	10.1145/3297858.3304038
MV-RLU: Scaling Read-Log-Update with Multi-Versioning.	Jaeho Kim,Ajit Mathew,Sanidhya Kashyap,Madhava Krishnan Ramanathan,Changwoo Min	10.1145/3297858.3304040
Bootstrapping: Using SMT Hardware to Improve Single-Thread Performance.	Sushant Kondguli,Michael C. Huang 0001	10.1145/3297858.3304052
Packing Sparse Convolutional Neural Networks for Efficient Systolic Array Implementations: Column Combining Under Joint Optimization.	H. T. Kung 0001,Bradley McDanel,Sai Qian Zhang	10.1145/3297858.3304028
Software-Defined Far Memory in Warehouse-Scale Computers.	H. Andrés Lagar-Cavilla,Junwhan Ahn,Suleiman Souhlal,Neha Agarwal,Radoslaw Burny,Shakeel Butt,Jichuan Chang,Ashwin Chaugule,Nan Deng,Junaid Shahid,Greg Thelen,Kamil Adam Yurtsever,Yu Zhao,Parthasarathy Ranganathan	10.1145/3297858.3304053
Bit-Tactical: A Software/Hardware Approach to Exploiting Value and Bit Sparsity in Neural Networks.	Alberto Delmas Lascorz,Patrick Judd,Dylan Malone Stuart,Zissis Poulos,Mostafa Mahmoud,Sayeh Sharify,Milos Nikolic 0002,Kevin Siu,Andreas Moshovos	10.1145/3297858.3304041
Wasabi: A Framework for Dynamically Analyzing WebAssembly.	Daniel Lehmann 0002,Michael Pradel	10.1145/3297858.3304068
Tackling the Qubit Mapping Problem for NISQ-Era Quantum Devices.	Gushu Li,Yufei Ding,Yuan Xie 0001	10.1145/3297858.3304023
Beating OPT with Statistical Clairvoyance and Variable Size Caching.	Pengcheng Li 0001,Colin Pronovost,William Wilson,Benjamin Tait,Jie Zhou 0022,Chen Ding 0001,John Criswell	10.1145/3297858.3304067
Keynote: Multicore Programming.	Barbara Liskov	10.1145/3297858.3304078
SOML Read: Rethinking the Read Operation Granularity of 3D NAND SSDs.	Chun-Yi Liu 0002,Jagadish B. Kotra,Myoungsoo Jung,Mahmut T. Kandemir,Chita R. Das	10.1145/3297858.3304035
Hop: Heterogeneity-aware Decentralized Training.	Qinyi Luo,Jinkun Lin,Youwei Zhuo,Xuehai Qian	10.1145/3297858.3304009
A Formal Analysis of the NVIDIA PTX Memory Consistency Model.	Daniel Lustig,Sameer Sahasrabuddhe,Olivier Giroux	10.1145/3297858.3304043
Minotaur: Adapting Software Testing Techniques for Hardware Errors.	Abdulrahman Mahmoud,Radha Venkatagiri,Khalique Ahmed,Sasa Misailovic,Darko Marinov,Christopher W. Fletcher,Sarita V. Adve	10.1145/3297858.3304050
Lazy Determinism for Faster Deterministic Multithreading.	Timothy Merrifield,Sepideh Roghanchi,Joseph Devietti,Jakob Eriksson	10.1145/3297858.3304047
StreamBox-HBM: Stream Analytics on High Bandwidth Hybrid Memory.	Hongyu Miao 0002,Myeongjae Jeon,Gennady Pekhimenko,Kathryn S. McKinley,Felix Xiaozhu Lin	10.1145/3297858.3304031
Noise-Adaptive Compiler Mappings for Noisy Intermediate-Scale Quantum Computers.	Prakash Murali,Jonathan M. Baker,Ali Javadi-Abhari,Frederic T. Chong,Margaret Martonosi	10.1145/3297858.3304075
ρ: Relaxed Hierarchical ORAM.	Chandrasekhar Nagarajan,Ali Shafiee,Rajeev Balasubramonian,Mohit Tiwari	10.1145/3297858.3304045
kMVX: Detecting Kernel Information Leaks with Multi-variant Execution.	Sebastian Österlund,Koen Koning,Pierre Olivier,Antonio Barbalace,Herbert Bos,Cristiano Giuffrida	10.1145/3297858.3304054
Targeting Classical Code to a Quantum Annealer.	Scott Pakin	10.1145/3297858.3304071
HawkEye: Efficient Fine-grained OS Support for Huge Pages.	Ashish Panwar,Sorav Bansal,K. Gopinath	10.1145/3297858.3304064
Buffets: An Efficient and Composable Storage Idiom for Explicit Decoupled Data Orchestration.	Michael Pellauer,Yakun Sophia Shao,Jason Clemons,Neal Clayton Crago,Kartik Hegde,Rangharajan Venkatesan,Stephen W. Keckler,Christopher W. Fletcher,Joel S. Emer	10.1145/3297858.3304025
Swizzle Inventor: Data Movement Synthesis for GPU Kernels.	Phitchaya Mangpo Phothilimthana,Archibald Samuel Elliott,An Wang 0003,Abhinav Jangda,Bastian Hagedorn,Henrik Barthels,Samuel J. Kaufman,Vinod Grover,Emina Torlak,Rastislav Bodík	10.1145/3297858.3304059
MVEDSUA: Higher Availability Dynamic Software Updates via Multi-Version Execution.	Luís Pina,Anastasios Andronidis,Michael Hicks 0001,Cristian Cadar	10.1145/3297858.3304063
ADMM-NN: An Algorithm-Hardware Co-Design Framework of DNNs Using Alternating Direction Methods of Multipliers.	Ao Ren,Tianyun Zhang,Shaokai Ye,Jiayu Li,Wenyao Xu,Xuehai Qian,Xue Lin,Yanzhi Wang	10.1145/3297858.3304076
DeepSigns: An End-to-End Watermarking Framework for Ownership Protection of Deep Neural Networks.	Bita Darvish Rouhani,Huili Chen,Farinaz Koushanfar	10.1145/3297858.3304051
Just-In-Time Compilation for Verilog: A New Technique for Improving the FPGA Programming Experience.	Eric Schkufza,Michael Wei,Christopher J. Rossbach	10.1145/3297858.3304010
X-Containers: Breaking Down Barriers to Improve Performance and Isolation of Cloud-Native Containers.	Zhiming Shen,Zhen Sun,Gur-Eyal Sela,Eugene Bagdasaryan,Christina Delimitrou,Robbert van Renesse,Hakim Weatherspoon	10.1145/3297858.3304016
Optimized Compilation of Aggregated Instructions for Realistic Quantum Computers.	Yunong Shi,Nelson Leung,Pranav Gokhale,Zane Rossi,David I. Schuster,Henry Hoffmann,Frederic T. Chong	10.1145/3297858.3304018
Astra: Exploiting Predictability to Optimize Deep Learning.	Muthian Sivathanu,Tapan Chugh,Sanjay S. Singapuram,Lidong Zhou	10.1145/3297858.3304072
Keynote: Developing our Quantum Future.	Krysta M. Svore	10.1145/3297858.3320434
pLock: A Fast Lock for Architectures with Explicit Inter-core Message Passing.	Xiongchao Tang,Jidong Zhai,Xuehai Qian,Wenguang Chen	10.1145/3297858.3304030
Not All Qubits Are Created Equal: A Case for Variability-Aware Policies for NISQ-Era Quantum Computers.	Swamit S. Tannu,Moinuddin K. Qureshi	10.1145/3297858.3304007
