EdgePC: Efficient Deep Learning Analytics for Point Clouds on Edge Devices.	Ziyu Ying 0001,Sandeepa Bhuyan,Yan Kang,Yingtian Zhang,Mahmut T. Kandemir,Chita R. Das	10.1145/3579371.3589113
Profiling Hyperscale Big Data Processing.	Abraham Gonzalez,Aasheesh Kolli,Samira Manabi Khan,Sihang Liu 0001,Vidushi Dadu,Sagar Karandikar,Jichuan Chang,Krste Asanovic,Parthasarathy Ranganathan	10.1145/3579371.3589082
TEA: Time-Proportional Event Analysis.	Björn Gottschall,Lieven Eeckhout,Magnus Jahre	10.1145/3579371.3589058
GenDP: A Framework of Dynamic Programming Acceleration for Genome Sequencing Analysis.	Yufeng Gu,Arun Subramaniyan 0001,Timothy Dunn,Alireza Khadem,Kuan-Yu Chen,Somnath Paul,Md. Vasimuddin,Sanchit Misra,David T. Blaauw,Satish Narayanasamy,Reetuparna Das	10.1145/3579371.3589060
R2D2: Removing ReDunDancy Utilizing Linearity of Address Generation in GPUs.	Dongho Ha,Yunho Oh,Won Woo Ro	10.1145/3579371.3589039
Architecting Efficient Multi-modal AIoT Systems.	Xiaofeng Hou,Jiacheng Liu 0001,Xuehan Tang,Chao Li 0009,Jia Chen,Luhong Liang,Kwang-Ting Cheng,Minyi Guo	10.1145/3579371.3589066
Optimizing CPU Performance for Recommendation Systems At-Scale.	Rishabh Jain,Scott Cheng,Vishwas Kalagi,Vrushabh Sanghavi,Samvit Kaul,Meena Arunachalam,Kiwan Maeng,Adwait Jog,Anand Sivasubramaniam,Mahmut Taylan Kandemir,Chita R. Das	10.1145/3579371.3589112
TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning with Hardware Support for Embeddings.	Norman P. Jouppi,George Kurian,Sheng Li 0007,Peter C. Ma,Rahul Nagarajan,Lifeng Nai,Nishant Patil,Suvinay Subramanian,Andy Swing,Brian Towles,Clif Young,Xiang Zhou,Zongwei Zhou,David A Patterson	10.1145/3579371.3589350
CDPU: Co-designing Compression and Decompression Processing Units for Hyperscale Systems.	Sagar Karandikar,Aniruddha N. Udipi,Junsun Choi,Joonho Whangbo,Jerry Zhao,Svilen Kanev,Edwin Lim,Jyrki Alakuijala,Vrishab Madduri,Yakun Sophia Shao,Borivoje Nikolic,Krste Asanovic,Parthasarathy Ranganathan	10.1145/3579371.3589074
Decoupled SSD: Rethinking SSD Architecture through Network-based Flash Controllers.	Jiho Kim,Myoungsoo Jung,John Kim	10.1145/3579371.3589096
MapZero: Mapping for Coarse-grained Reconfigurable Architectures with Reinforcement Learning and Monte-Carlo Tree Search.	Xiangyu Kong,Yi Huang,Jianfeng Zhu 0001,Xingchen Man,Yang Liu,Chunyang Feng,Pengfei Gou,Minggui Tang,Shaojun Wei,Leibo Liu	10.1145/3579371.3589081
ArchGym: An Open-Source Gymnasium for Machine Learning Assisted Architecture Design.	Srivatsan Krishnan,Amir Yazdanbakhsh,Shvetank Prakash,Jason Jabbour,Ikechukwu Uchendu,Susobhan Ghosh,Behzad Boroujerdian,Daniel Richins,Devashree Tripathy,Aleksandra Faust,Vijay Janapa Reddi	10.1145/3579371.3589049
Doppelganger Loads: A Safe, Complexity-Effective Optimization for Secure Speculation Schemes.	Amund Bergland Kvalsvik,Pavlos Aimoniotis,Stefanos Kaxiras,Magnus Själander	10.1145/3579371.3589088
NeuRex: A Case for Neural Rendering Acceleration.	Junseo Lee,Kwanseok Choi,Jungi Lee,Seokwon Lee,Joonho Whangbo,Jaewoong Sim	10.1145/3579371.3589056
Instant-3D: Instant Neural Radiance Field Training Towards On-Device AR/VR 3D Reconstruction.	Sixu Li,Chaojian Li,Wenbo Zhu,Boyang Tony Yu,Yang Katie Zhao,Cheng Wan,Haoran You,Huihong Shi,Yingyan Celine Lin	10.1145/3579371.3589115
ECSSD: Hardware/Data Layout Co-Designed In-Storage-Computing Architecture for Extreme Classification.	Siqi Li,Fengbin Tu,Liu Liu 0017,Jilan Lin,Zheng Wang,Yangwook Kang,Yufei Ding,Yuan Xie 0001	10.1145/3579371.3589093
FDMAX: An Elastic Accelerator Architecture for Solving Partial Differential Equations.	Jiajun Li,Yuxuan Zhang,Hao Zheng 0005,Ke Wang 0030	10.1145/3579371.3589083
Mystique: Enabling Accurate and Scalable Generation of Production AI Benchmarks.	Mingyu Liang,Wenyin Fu,Louis Feng,Zhongyi Lin,Pavani Panakanti,Shengbao Zheng,Srinivas Sridharan,Christina Delimitrou	10.1145/3579371.3589072
Dancing the Quantum Waltz: Compiling Three-Qubit Gates on Four Level Architectures.	Andrew Litteken,Lennart Maximilian Seifert,Jason D. Chadwick,Natalia Nottingham,Tanay Roy,Ziqian Li,David I. Schuster,Frederic T. Chong,Jonathan M. Baker	10.1145/3579371.3589106
Accelerating Personalized Recommendation with Cross-level Near-Memory Processing.	Haifeng Liu,Long Zheng 0003,Yu Huang 0013,Chaoqiang Liu,Xiangyu Ye,Jingrui Yuan,Xiaofei Liao,Hai Jin 0001,Jingling Xue	10.1145/3579371.3589101
A Research Retrospective on AMD&apos;s Exascale Computing Journey.	Gabriel H. Loh,Michael J. Schulte,Mike Ignatowski,Vignesh Adhinarayanan,Shaizeen Aga,Derrick Aguren,Varun Agrawal,Ashwin M. Aji,Johnathan Alsop,Paul T. Bauman,Bradford M. Beckmann,Majed Valad Beigi,Sergey Blagodurov,Travis Boraten,Michael Boyer,William C. Brantley,Noel Chalmers,Shaoming Chen,Kevin Cheng,Michael L. Chu,David Cownie,Nicholas Curtis,Joris Del Pino,Nam Duong,Alexandru Dutu,Yasuko Eckert,Christopher Erb,Chip Freitag,Joseph L. Greathouse,Sudhanva Gurumurthi,Anthony Gutierrez,Khaled Hamidouche,Sachin Hossamani,Wei Huang 0004,Mahzabeen Islam,Nuwan Jayasena,John Kalamatianos,Onur Kayiran,Jagadish Kotra,Alan Lee,Daniel Lowell,Niti Madan,Abhinandan Majumdar,Nicholas Malaya,Srilatha Manne,Susumu Mashimo,Damon McDougall,Elliot Mednick,Michael Mishkin,Mark Nutter,Indrani Paul,Matthew Poremba,Brandon Potter,Kishore Punniyamurthy,Sooraj Puthoor,Steven E. Raasch,Karthik Rao,Gregory Rodgers,Marko Scrbak,Mohammad Seyedzadeh,John Slice,Vilas Sridharan,René van Oostrum,Eric Van Tassell,Abhinav Vishnu,Samuel Wasmundt,Mark Wilkening,Noah Wolfe,Mark Wyse,Adithya Yalavarti,Dmitri Yudanov	10.1145/3579371.3589349
RowPress: Amplifying Read Disturbance in Modern DRAM Chips.	Haocong Luo,Ataberk Olgun,Abdullah Giray Yaglikçi,Yahya Can Tugrul,Steve Rhyner,Meryem Banu Cavlak,Joël Lindegger,Mohammad Sadrosadati,Onur Mutlu	10.1145/3579371.3589063
CAMJ: Enabling System-Level Energy Modeling and Architectural Exploration for In-Sensor Visual Computing.	Tianrui Ma,Yu Feng 0007,Xuan Zhang 0001,Yuhao Zhu 0001	10.1145/3579371.3589064
LeCA: In-Sensor Learned Compressive Acquisition for Efficient Machine Vision on the Edge.	Tianrui Ma,Adith Jagadish Boloor,Xiangxing Yang,Weidong Cao,Patrick Williams,Nan Sun,Ayan Chakrabarti,Xuan Zhang 0001	10.1145/3579371.3589089
Nimblock: Scheduling for Fine-grained FPGA Sharing through Virtualization.	Meghna Mandava,Paul Reckamp,Deming Chen	10.1145/3579371.3589095
Scaling Qubit Readout with Hardware Efficient Machine Learning Architectures.	Satvik Maurya,Chaithanya Naik Mude,William D. Oliver,Benjamin Lienhard,Swamit S. Tannu	10.1145/3579371.3589042
Parallel Driving for Fast Quantum Computing Under Speed Limits.	Evan McKinney,Chao Zhou,Mingkang Xia,Michael Hatridge,Alex K. Jones	10.1145/3579371.3589075
QIsim: Architecting 10+K Qubit QC Interfaces Toward Quantum Supremacy.	Dongmoon Min,Junpyo Kim,Junhyuk Choi,Ilkwon Byun,Masamitsu Tanaka,Koji Inoue,Jangwoo Kim	10.1145/3579371.3589036
