Two-Choice Randomized Dynamic I/O Scheduler for Object Storage Systems.	Dong Dai 0001,Yong Chen 0001,Dries Kimpe,Robert B. Ross	10.1109/SC.2014.57
Optimized Scheduling Strategies for Hybrid Density Functional theory Electronic Structure Calculations.	William Dawson,François Gygi	10.1109/SC.2014.61
Optimization of a Multilevel Checkpoint Model with Uncertain Execution Scales.	Sheng Di,Leonardo Arturo Bautista-Gomez,Franck Cappello	10.1109/SC.2014.79
Fail-in-Place Network Design: Interaction Between Topology, Routing Algorithm and Failures.	Jens Domke,Torsten Hoefler,Satoshi Matsuoka	10.1109/SC.2014.54
Omnisc&apos;IO: A Grammar-Based Approach to Spatial and Temporal I/O Patterns Prediction.	Matthieu Dorier,Shadi Ibrahim,Gabriel Antoniu,Robert B. Ross	10.1109/SC.2014.56
Scaling MapReduce Vertically and Horizontally.	Ismail El-Helw,Rutger F. H. Hofman,Henri E. Bal	10.1109/SC.2014.48
Understanding the Effects of Communication and Coordination on Checkpointing at Scale.	Kurt B. Ferreira,Patrick M. Widener,Scott Levy,Dorian C. Arnold,Torsten Hoefler	10.1109/SC.2014.77
Exploring Automatic, Online Failure Recovery for Scientific Applications at Extreme Scales.	Marc Gamell,Daniel S. Katz,Hemanth Kolla,Jacqueline Chen,Scott Klasky,Manish Parashar	10.1109/SC.2014.78
Parallel De Bruijn Graph Construction and Traversal for De Novo Genome Assembly.	Evangelos Georganas,Aydin Buluç,Jarrod Chapman,Leonid Oliker,Daniel Rokhsar,Katherine A. Yelick	10.1109/SC.2014.41
Dissecting On-Node Memory Access Performance: A Semantic Approach.	Alfredo Giménez,Todd Gamblin,Barry Rountree,Abhinav Bhatele,Ilir Jusufi,Peer-Timo Bremer,Bernd Hamann	10.1109/SC.2014.19
Finding Constant from Change: Revisiting Network Performance Aware Optimizations on IaaS Clouds.	Yifan Gong 0003,Bingsheng He,Dan Li	10.1109/SC.2014.85
Efficient Sparse Matrix-Vector Multiplication on GPUs Using the CSR Storage Format.	Joseph L. Greathouse,Mayank Daga	10.1109/SC.2014.68
FlexSlot: Moving Hadoop Into the Cloud with Flexible Slot Management.	Yanfei Guo,Jia Rao,Changjun Jiang,Xiaobo Zhou 0002	10.1109/SC.2014.83
Petascale High Order Dynamic Rupture Earthquake Simulations on Heterogeneous Supercomputers.	Alexander Heinecke,Alexander Breuer,Sebastian Rettenberger,Michael Bader,Alice-Agnes Gabriel,Christian Pelties,Arndt Bode,William Barth,Xiangke Liao,Karthikeyan Vaidyanathan,Mikhail Smelyanskiy,Pradeep Dubey	10.1109/SC.2014.6
Lattice QCD with Domain Decomposition on Intel® Xeon Phi Co-Processors.	Simon Heybrock,Bálint Joó,Dhiraj D. Kalamkar,Mikhail Smelyanskiy,Karthikeyan Vaidyanathan,Tilo Wettig,Pradeep Dubey	10.1109/SC.2014.11
FAST: Near Real-Time Searchable Data Analytics for the Cloud.	Yu Hua 0001,Hong Jiang 0001,Dan Feng 0001	10.1109/SC.2014.67
