Stimulus-Based Adaptive Sleeping for Wireless Sensor Networks.	Hoilun Ngan,Yanmin Zhu,Lionel M. Ni,Renyi Xiao	10.1109/ICPP.2005.74
VLAN-Based Minimal Paths in PC Cluster with Ethernet on Mesh and Torus.	Tomohiro Otsuka,Michihiro Koibuchi,Akiya Jouraku,Hideharu Amano	10.1109/ICPP.2005.79
Incremental Parallelization Using Navigational Programming: A Case Study.	Lei Pan 0001,Wenhui Zhang 0001,Arthur U. Asuncion,Ming Kin Lai,Michael B. Dillencourt,Lubomir Bic	10.1109/ICPP.2005.46
A Vector-µSIMD-VLIW Architecture for Multimedia Applications.	Esther Salamí,Mateo Valero	10.1109/ICPP.2005.17
A New Service Classification Strategy in Hybrid Scheduling to Support Differentiated QoS in Wireless Data Networks.	Navrati Saxena,Kalyan Basu,Sajal K. Das 0001,Maria Cristina Pinotti	10.1109/ICPP.2005.10
Locality-Aware Randomized Load Balancing Algorithms for DHT Networks.	Haiying Shen,Cheng-Zhong Xu 0001	10.1109/ICPP.2005.49
Scalability of Heterogeneous Computing.	Xian-He Sun,Yong Chen 0001,Ming Wu 0006	10.1109/ICPP.2005.69
A Smart TCP Socket for Distributed Computing.	Shao Tao,Akkihebbal L. Ananda	10.1109/ICPP.2005.14
A Novel Approach for Detecting Heap-Based Loop-Carried Dependences.	Adrian Tineo,Francisco Corbera,Angeles G. Navarro,Rafael Asenjo,Emilio L. Zapata	10.1109/ICPP.2005.11
On Mapping Multidimensional Weak Tori on Optical Slab Waveguides.	Ramachandran Vaidyanathan,Karthik Sethuraman	10.1109/ICPP.2005.54
Differentiated Search in Hierarchical Peer-to-Peer Networks.	Chen Wang 0010,Li Xiao 0001,Pei Zheng	10.1109/ICPP.2005.32
Heuristics for Profile-Driven Method-Level Speculative Parallelization.	John Whaley,Christos Kozyrakis	10.1109/ICPP.2005.44
Tuning High Performance Kernels through Empirical Compilation.	R. Clint Whaley,David B. Whalley	10.1109/ICPP.2005.77
Optimizing Collective Communications on SMP Clusters.	Meng-Shiou Wu,Ricky A. Kendall,Kyle Wright	10.1109/ICPP.2005.56
Message from the General Co-Chairs.		10.1109/ICPP.2005.51
Message from the Program Co-Chairs.		10.1109/ICPP.2005.52
Organizing Committee.		10.1109/ICPP.2005.57
Program Committee.		10.1109/ICPP.2005.64
Reviewers.		10.1109/ICPP.2005.67
Fault-Tolerant Routing in Meshes/Tori Using Planarly Constructed Fault Blocks.	Dong Xiang,Jia-Guang Sun,Jie Wu 0001,Krishnaiyan Thulasiraman	10.1109/ICPP.2005.40
SAREC: A Security-Aware Scheduling Strategy for Real-Time Applications on Clusters.	Tao Xie 0004,Xiao Qin 0001,Andrew H. Sung	10.1109/ICPP.2005.68
Enabling Loop Fusion and Tiling for Cache Performance by Fixing Fusion-Preventing Data Dependences.	Jingling Xue,Qingguang Huang,Minyi Guo	10.1109/ICPP.2005.37
Parallel Algorithm and Implementation for Realtime Dynamic Simulation of Power System.	Wei Xue,Jiwu Shu,Yongwei Wu,Weimin Zheng	10.1109/ICPP.2005.58
Connected k-Hop Clustering in Ad Hoc Networks.	Shuhui Yang,Jie Wu 0001,Jiannong Cao 0001	10.1109/ICPP.2005.25
Toward Effective NIC Caching: A Hierarchical Data Cache Architecture for iSCSI Storage Servers.	Xiaoyu Yao,Jun Wang 0001	10.1109/ICPP.2005.76
Impact of Exploiting Load Imbalance on Coscheduling in Workstation Clusters.	Jung-Lok Yu,Driss Azougagh,Jin-Soo Kim 0001,Seung Ryoul Maeng	10.1109/ICPP.2005.45
BluePower - A New Distributed Multihop Scatternet Formation Protocol for Bluetooth Networks.	Yuanrui Zhang,Shu Liu,Weijia Jia 0001,Xu Cheng 0001	10.1109/ICPP.2005.22
Provisioning Virtual Private Networks in the Hose Model with Delay Requirements.	Lei Zhang,Jogesh K. Muppala,Samuel T. Chanson	10.1109/ICPP.2005.65
Two-Tier Resource Allocation for Slowdown Differentiation on Server Clusters.	Xiaobo Zhou 0002,Yu Cai,C. Edward Chow,Marijke F. Augusteijn	10.1109/ICPP.2005.78
A Compatible and Scalable Clock Synchronization Protocol in IEEE 802.11 Ad Hoc Networks.	Dong Zhou,Ten-Hwang Lai	10.1109/ICPP.2005.6
First Evaluation of Parallel Methods of Automatic Global Image Registration Based on Wavelets.	Haifang Zhou,Xuejun Yang,Hengzhu Liu,Yu Tang 0014	10.1109/ICPP.2005.43
Ferry: An Architecture for Content-Based Publish/Subscribe Services on P2P Networks.	Yingwu Zhu,Yiming Hu	10.1109/ICPP.2005.41
Design Tradeoffs for BLAS Operations on Reconfigurable Hardware.	Ling Zhuo,Viktor K. Prasanna	10.1109/ICPP.2005.31
34th International Conference on Parallel Processing (ICPP 2005), 14-17 June 2005, Oslo, Norway		
