Efficient and Scalable Graph Pattern Mining on GPUs.	Xuhao Chen 0001,Arvind	
Ekko: A Large-Scale Deep Learning Recommender System with Low-Latency Model Update.	Chijun Sima,Yao Fu,Man-Kit Sit,Liyi Guo,Xuri Gong,Feng Lin,Junyu Wu,Yongsheng Li,Haidong Rong,Pierre-Louis Aublin,Luo Mai	
zIO: Accelerating IO-Intensive Applications with Transparent Zero-Copy IO.	Timothy Stamler,Deukyeon Hwang,Amanda Raybuck,Wei Zhang,Simon Peter 0001	
Unity: Accelerating DNN Training Through Joint Optimization of Algebraic Transformations and Parallelization.	Colin Unger,Zhihao Jia,Wei Wu 0016,Sina Lin,Mandeep Baines,Carlos Efrain Quintero Narvaez,Vinay Ramakrishnaiah,Nirmal Prajapati,Patrick S. McCormick,Jamaludin Mohd-Yusof,Xi Luo,Dheevatsa Mudigere,Jongsoo Park,Misha Smelyanskiy,Alex Aiken	
SHORTSTACK: Distributed, Fault-tolerant, Oblivious Data Access.	Midhul Vuppalapati,Kushal Babel,Anurag Khandelwal,Rachit Agarwal 0001	
MemLiner: Lining up Tracing and Application for a Far-Memory-Friendly Runtime.	Chenxi Wang,Haoran Ma,Shi Liu,Yifan Qiao,Jonathan Eyolfson,Christian Navasca,Shan Lu 0001,Guoqing Harry Xu	
DuoAI: Fast, Automated Inference of Inductive Invariants for Verifying Distributed Protocols.	Jianan Yao,Runzhou Tao,Ronghui Gu,Jason Nieh	
Immortal Threads: Multithreaded Event-driven Intermittent Computing on Ultra-Low-Power Microcontrollers.	Eren Yildiz,Lijun Chen,Kasim Sinan Yildirim	
Orca: A Distributed Serving System for Transformer-Based Generative Models.	Gyeong-In Yu,Joo Seong Jeong,Geon-Woo Kim,Soojeong Kim,Byung-Gon Chun	
FAERY: An FPGA-accelerated Embedding-based Retrieval System.	Chaoliang Zeng,Layong Luo,Qingsong Ning,Yaodong Han,Yuhang Jiang,Ding Tang,Zilong Wang,Kai Chen 0005,Chuanxiong Guo	
Blockaid: Data Access Policy Enforcement for Web Applications.	Wen Zhang,Eric Sheng,Michael Alan Chang,Aurojit Panda,Mooly Sagiv,Scott Shenker	
SparTA: Deep-Learning Model Sparsity via Tensor-with-Sparsity-Attribute.	Ningxin Zheng,Bin Lin,Quanlu Zhang,Lingxiao Ma,Yuqing Yang 0001,Fan Yang 0024,Yang Wang,Mao Yang,Lidong Zhou	
Alpa: Automating Inter- and Intra-Operator Parallelism for Distributed Deep Learning.	Lianmin Zheng,Zhuohan Li,Hao Zhang,Yonghao Zhuang,Zhifeng Chen,Yanping Huang,Yida Wang,Yuanzhong Xu,Danyang Zhuo,Eric P. Xing,Joseph E. Gonzalez,Ion Stoica	
XRP: In-Kernel Storage Functions with eBPF.	Yuhong Zhong,Haoyu Li,Yu Jian Wu,Ioannis Zarkadas,Jeffrey Tao,Evan Mesterhazy,Michael Makris,Junfeng Yang,Amy Tai,Ryan Stutsman,Asaf Cidon	
ODINFS: Scaling PM Performance with Opportunistic Delegation.	Diyu Zhou,Yuchen Qian,Vishal Gupta,Zhifei Yang,Changwoo Min,Sanidhya Kashyap	
ROLLER: Fast and Efficient Tensor Compilation for Deep Learning.	Hongyu Zhu,Ruofan Wu,Yijia Diao,Shanbin Ke,Haoyu Li,Chen Zhang,Jilong Xue,Lingxiao Ma,Yuqing Xia,Wei Cui,Fan Yang 0024,Mao Yang,Lidong Zhou,Asaf Cidon,Gennady Pekhimenko	
16th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2022, Carlsbad, CA, USA, July 11-13, 2022	Marcos K. Aguilera,Hakim Weatherspoon	
