A Portable Tape Driver Architecture.	Curtis Anderson	
Functionality and Performance Evaluation of File Systems for Storage Area Networks (SAN).	Martha Bancroft,Nick Bear,Jim Finlayson,Robert Hill,Richard Isicoff,Hoot Thompson	
An Overview of Version 0.9.5 Proposed SCSI Device Locks.	Andrew P. Barry,Mike Tilstra,Matthew T. O&apos;Keefe,Kenneth W. Preslan,Gerry Houlder,Jim Coomes,James Wayda	
EOSDIS Archive and Distribution Systems in 2000.	Jeanne Behnke,Alla Lake	
Access Coordination of Tertiary Storage for High Energy Physics Applications.	Luis M. Bernardo,Arie Shoshani,Alex Sim,Henrik Nordberg	
DataCutter: Middleware for Filtering Very Large Scientific Datasets on Archival Storage Systems.	Michael D. Beynon,Renato Ferreira 0001,Tahsin M. Kurç,Alan Sussman,Joel H. Saltz	
StorHouse/Relational Manager (RM) - Active Storage Hierarchy Database System and Applications.	Felipe Cariño,John G. Burgess	
Project 1244: IEEE Storage System Standards.	John L. Cole	
A Scalable Architecture for Maximizing Concurrency.	Jonathan Crawford	
High Density Holographic Data Storage.	Lisa Dhar,Kevin Curtis,Arturo Hale,Melinda Schnoes,William Wilson,Michael Tackitt,Adrian Hill,Marcia Schilling,Howard Katz	
The InTENsity PowerWall: A Case Study for a Shared File System Testing Framework.	Alex W. Elder,Thomas Ruwart,Benjamin D. Allen,Angela Bartow,Sarah E. Anderson,David H. Porter	
Design for a Decentralized Security System For Network Attached Storage.	William E. Freeman,Ethan L. Miller	
Using Track-Following Servo Technology on LTO Tape Drives.	Randy Glissman	
Jiro Storage Management.	Bruce K. Haddon,William H. Connor	
Performance of an MPI-IO Implementation Using Third-Party Transfer.	Richard Hedges,Terry Jones,John May,Robert Kim Yates	
A Blueprint for Representation Information in the OAIS Model.	David Holdsworth,Derek M. Sergeant	
Towards Mass Storage Systems with Object Granularity.	Koen Holtman,Peter van der Stok,Ian Willers	
Data Volume Proliferation in the 21st Century - The Challenges Faced by the NOAA National Data Centers (NNDC).	John Jensen,John Kinsfather,Parmesh Dwivedi	
New Prospects for Electrostatic Data Storage Systems.	Alexander N. Korotkov,Konstantin Likharev	
I/O and Storage Tuning: An Introduction to I/O and Storage Tuning Tips and Techniques.	Randy Kreiser	
Evaluating Backup Algorithms.	Zachary Kurmas,Ann L. Chervenak	
Fault Tolerant Design in the Earth Orbiting Systems Archive.	Alla Lake,Jonathan Crawford,Raymond Simanowith,Bradley Koenig	
Connection of a Climate Model Database and Mass Storage Archive(s).	Michael Lautenschlager,Hannes Thiemann	
Compact Holographic Read/Write Memory.	Wenhai Liu,Demetri Psaltis	
Optical Head Design for 1 TB Capacity Optical Tape Drive.	Mahdad Manavi,Aaron Wegner,Qi-Ze Shu,Yeou-Yen Cheng	
APRIL: A Run-Time Library for Tape-Resident Data.	Gokhan Memik,Mahmut T. Kandemir,Alok N. Choudhary,Valerie E. Taylor	
Tertiary Storage Organization for Large Multidimensional Datasets.	Sachin More,Alok N. Choudhary	
Accelerated Aging Studies and the Prediction of the Archival Lifetime of Optical Disk Media.	David E. Nikles,John M. Wiest	
A Stack Model Based Replacement Policy for a NonVolatile Write Cache.	Jehan-François Pâris,Theodore R. Haining,Darrell D. E. Long	
Implementing Journaling in a Linux Shared Disk File System.	Kenneth W. Preslan,Andrew P. Barry,Jonathan Brassow,Russell Cattelan,Adam Manthei,Erling Nygaard,Seth Van Oort,David Teigland,Mike Tilstra,Matthew T. O&apos;Keefe,Grant Erickson,Manish Agarwal	
Implementation of a Fault-Tolerant Real-Time Network-Attached Storage Device.	Ashish Raniwala,Srikant Sharma,Anindya Neogi,Tzi-cker Chiueh	
Disk Subsystem Performance Evaluation: From Disk Drives to Storage Area Networks.	Thomas Ruwart	
Optical Storage.	Koichi Sadashige	
Alternatives of Implementing a Cluster File System.	Yoshitake Shinkai,Yoshihiro Tsuchiya,Takeo Murakami,Jim Williams	
Switched FC-AL: An Arbitrated Loop Attachment for Fibre Channel Switches.	Vishal Sinha,David Hung-Chang Du	
Mass Storage System Upgrades at the NASA Center for Computational Sciences.	Adina Tarshish,Ellen Salmon,Medora Macie,Marty Saletta	
Ferroelectric Molecular Optical Storage Nanotechnology.	Michael Thomas	
Eighth NASA Goddard Space Flight Center Conference on Mass Storage Systems and Technologies in cooperation with Seventeenth IEEE Symposium on Mass Storage Systems, MSS 2000, College Park, MD, USA, March 27-30, 2000		
