Massively parallel 3D image reconstruction.	Xiao Wang 0004,Amit Sabne,Putt Sakdhnagool,Sherman J. Kisner,Charles A. Bouman,Samuel P. Midkiff	10.1145/3126908.3126911
Exploring and analyzing the real impact of modern on-package memory on HPC scientific kernels.	Ang Li 0006,Weifeng Liu 0002,Mads Ruben Burgdorff Kristensen,Brian Vinter,Hao Wang 0002,Kaixi Hou,Andres Marquez,Shuaiwen Leon Song	10.1145/3126908.3126931
LocoFS: a loosely-coupled metadata service for distributed file systems.	Siyang Li,Youyou Lu,Jiwu Shu,Yang Hu 0001,Tao Li 0006	10.1145/3126908.3126928
Correcting soft errors online in fast fourier transform.	Xin Liang 0001,Jieyang Chen,Dingwen Tao,Sihuan Li,Panruo Wu,Hongbo Li 0006,Kaiming Ouyang,Yuanlai Liu,Fengguang Song,Zizhong Chen	10.1145/3126908.3126915
DataRaceBench: a benchmark suite for systematic evaluation of data race detection tools.	Chunhua Liao,Pei-Hung Lin,Joshua Asplund,Markus Schordan,Ian Karlin	10.1145/3126908.3126958
Scientific user behavior and data-sharing trends in a petascale file system.	Seung-Hwan Lim,Hyogi Sim,Raghul Gunasekaran,Sudharshan S. Vazhkudai	10.1145/3126908.3126924
Performance modeling under resource constraints using deep transfer learning.	Aniruddha Marathe,Rushil Anirudh,Nikhil Jain,Abhinav Bhatele,Jayaraman J. Thiagarajan,Bhavya Kailkhura,Jae-Seung Yeom,Barry Rountree,Todd Gamblin	10.1145/3126908.3126969
Embracing a new era of highly efficient and productive quantum Monte Carlo simulations.	Amrita Mathuriya,Ye Luo,Raymond C. Clay III,Anouar Benali,Luke Shulenburger,Jeongnim Kim	10.1145/3126908.3126952
An efficient MPI/openMP parallelization of the Hartree-Fock method for the second generation of Intel® Xeon Phi™ processor.	Vladimir A. Mironov,Yuri Alexeev,Kristopher Keipert,Michael D&apos;Mello,Alexander A. Moskovsky,Mark S. Gordon	10.1145/3126908.3126956
Large-scale adaptive mesh simulations through non-volatile byte-addressable memory.	Bao Nguyen,Hua Tan,Xuechen Zhang	10.1145/3126908.3126944
Experimental and analytical study of Xeon Phi reliability.	Daniel Oliveira 0002,Laércio Lima Pilla,Nathan DeBardeleben,Sean Blanchard,Heather Quinn,Israel Koren,Philippe O. A. Navaux,Paolo Rech	10.1145/3126908.3126960
Gravel: fine-grain GPU-initiated network messages.	Marc S. Orr,Shuai Che,Bradford M. Beckmann,Mark Oskin,Steven K. Reinhardt,David A. Wood 0001	10.1145/3126908.3126914
Charliecloud: unprivileged containers for user-defined software stacks in HPC.	Reid Priedhorsky,Tim Randles	10.1145/3126908.3126925
Securing HPC: development of a low cost, open source multi-factor authentication infrastructure.	W. Cyrus Proctor,Patrick Storm,Matthew R. Hanlon,Nathaniel Mendoza	10.1145/3126908.3126957
A configurable rule based classful token bucket filter network request scheduler for the lustre file system.	Yingjin Qian,Xi Li,Shuichi Ihara,Lingfang Zeng,Jürgen Kaiser,Tim Süß,André Brinkmann	10.1145/3126908.3126932
Why is MPI so slow?: analyzing the fundamental limits in implementing MPI-3.1.	Ken Raffenetti,Abdelhalim Amer,Lena Oden,Charles Archer,Wesley Bland,Hajime Fujita 0002,Yanfei Guo,Tomislav Janjusic,Dmitry Durnov,Michael Blocksome,Min Si,Sangmin Seo,Akhil Langer,Gengbin Zheng,Masamichi Takagi,Paul K. Coffman,Jithin Jose,Sayantan Sur,Alexander Sannikov,Sergey Oblomov,Michael Chuvelev,Masayuki Hatanaka,Xin Zhao,Paul F. Fischer,Thilina Rathnayake,Matthew Otten,Misun Min,Pavan Balaji	10.1145/3126908.3126963
Tagit: an integrated indexing and search service for file systems.	Hyogi Sim,Youngjae Kim 0001,Sudharshan S. Vazhkudai,Geoffroy R. Vallée,Seung-Hwan Lim,Ali Raza Butt	10.1145/3126908.3126929
